COUNTRY,DE_CONSUMPTION,FR_CONSUMPTION,DE_FR_EXCHANGE,FR_DE_EXCHANGE,DE_NET_EXPORT,FR_NET_EXPORT,DE_NET_IMPORT,FR_NET_IMPORT,DE_GAS,FR_GAS,DE_COAL,FR_COAL,DE_HYDRO,FR_HYDRO,DE_NUCLEAR,FR_NUCLEAR,DE_SOLAR,FR_SOLAR,DE_WINDPOW,FR_WINDPOW,DE_LIGNITE,DE_RESIDUAL_LOAD,FR_RESIDUAL_LOAD,DE_RAIN,FR_RAIN,DE_WIND,FR_WIND,DE_TEMP,FR_TEMP,GAS_RET,COAL_RET,CARBON_RET
FR,0.210098728,-0.427458213,-0.606523495,0.606523495,-0.036451894,0.692859571,0.082926283,-0.692859571,0.441238275,-0.213765913,0.740627122,0.288781611,2.20904709,0.207838231,0.7096141,-0.190463471,0.101766109,1.248911178,-0.573370129,-0.269460481,0.870344289,0.626666423,-0.444660943,-0.172679657,-0.5563555,-0.790823425,-0.283160396,-1.069069607,-0.063404141,0.339040586,0.12455206,-0.002444787
FR,-0.022399346,-1.003452465,-0.022063247,0.022063247,-0.573519539,-1.130837621,0.573519539,1.130837621,0.174772811,0.426939733,-0.170391705,-0.762152825,0.18796385,-0.807111716,-1.882740239,-2.185960771,1.987427952,3.237380427,-0.035514417,-0.107349796,-0.194307946,-0.39546912,-1.183193812,-1.240299589,-0.770457323,1.522330864,0.828411904,0.437419074,1.831240912,-0.659091307,0.04711428,-0.49036541
FR,1.395035093,1.978665399,1.021305242,-1.021305242,-0.622021239,-1.682586647,0.622021239,1.682586647,2.351913476,2.12224128,1.57226657,0.777052959,-0.108578319,0.779142324,-1.897108561,0.735137428,-1.11558327,-0.371038674,-0.298754559,-0.141239119,0.428272498,1.33662462,1.947272844,-0.480700351,-0.313337837,0.431134486,0.487607647,0.684884363,0.114836118,0.535974348,0.743337775,0.204951849
DE,-0.983323884,-0.849198042,-0.839585931,0.839585931,-0.270869841,0.5632299,0.270869841,-0.5632299,0.487818221,0.194658962,-1.473816723,-0.786025037,-0.368417177,1.32048349,-0.205546711,-1.589553888,1.751522914,0.562944364,-0.01009005,0.366885089,-2.33055724,-1.191888831,-0.976974025,-1.114837862,-0.507570198,-0.499409384,-0.236248665,0.350937823,-0.417514441,0.911652098,-0.296168442,1.07394768
FR,0.143807379,-0.617037662,-0.924989989,0.924989989,-0.033261805,0.9903236,0.071854801,-0.9903236,0.238692973,-0.240861933,1.003734269,-0.2749747,-0.230179474,-0.79598299,-0.005580604,0.176934573,0.69354272,0.723587444,-0.774940922,-0.5644977,0.691040415,0.57161292,-0.526267097,-0.541465408,-0.4245497,-1.088158255,-1.011559671,0.614338384,0.729495109,0.245108952,1.526605812,2.614377951
FR,-0.295295867,-0.765120232,-0.717490081,0.717490081,-1.117138811,-0.200305414,1.117138811,0.200305414,1.533595366,0.306421718,-1.240316179,-0.775944257,2.306979755,0.593250909,-1.218842323,-1.920695093,2.140859887,2.05449102,-0.977976231,-0.245628412,-0.462172518,-0.00127903,-0.860628311,-0.962519278,-0.193836504,-0.871600166,-0.917233688,0.102046466,0.472708175,0.891048682,0.861407668,1.124457259
FR,-0.234964893,-0.677085348,0.399588044,-0.399588044,0.183997701,-0.986235389,-0.183997701,0.986235389,0.81850566,0.068941957,-1.224659068,-0.768060436,0.740743151,0.017134052,-0.678965162,-1.347827545,1.600429202,1.687112119,0.550148616,-0.903132166,-1.866941357,-1.128430602,-0.58605137,-1.658393679,-0.529800036,-0.318920476,-1.220759862,-0.512990808,0.147507034,1.889738989,0.498226348,0.681739252
FR,0.33222286,-0.546797226,-0.507773015,0.507773015,-0.015774454,0.5695848,0.044474117,-0.5695848,0.317466403,-0.196255394,0.83227198,0.421618748,1.873228948,0.158725305,0.568656268,-0.119610323,1.18831257,0.816217999,-0.738634426,-0.805030814,0.743142364,0.509093622,-0.41525449,-0.744327613,-0.051534922,-0.701035197,-0.394857216,1.990977573,0.902719256,0.206768981,0.993303763,-0.223739346
FR,-0.023022673,-0.604693955,-1.196787481,1.196787481,-0.519338946,0.373108882,0.519338946,-0.373108882,0.627706956,0.584996147,-1.125247296,-0.766389066,-0.001041049,-1.045716156,-0.008728896,-0.137666085,0.697747591,0.224662027,-0.018492678,-0.739917426,-0.368338548,-0.204769698,-0.447047946,-0.207390193,0.009355768,-0.261495602,-0.841560306,-1.024980229,-1.564174459,2.688207512,3.061210251,3.75524008
FR,0.564657361,0.273776368,-0.439062853,0.439062853,-0.636653801,0.342056986,0.636653801,-0.342056986,1.570867371,1.033960717,0.235880041,-0.787990737,-0.119898031,0.214924741,-0.467940878,-0.11098007,-0.496851604,-0.140213345,-0.62628196,1.212940791,0.612994723,1.154090264,0.02786222,-0.972343538,-0.80643474,-0.752273242,-0.767577903,-0.371474809,-0.459768255,-1.487154446,-0.692378224,-0.768282943
FR,-0.113378808,-0.891965681,-1.138858793,1.138858793,-1.45591407,0.964391464,1.45591407,-0.964391464,1.335062177,0.071450436,-1.192261517,-0.781841356,2.150390397,1.199974921,0.069508496,-0.957374983,-0.178814043,0.211588045,-0.227782343,-0.013897551,-1.639995107,0.200158441,-0.894547104,0.535681294,9.473200582,-0.464921972,-0.394909493,-0.253529504,-1.002389783,-0.939246376,0.145223768,0.224065801
DE,-0.055691549,-0.811337212,0.237105138,-0.237105138,-0.85108237,-1.091141679,0.85108237,1.091141679,0.882313145,-0.145637384,-0.042991764,-0.770846053,1.28237425,-0.742764688,-2.509255457,-1.838556433,1.172154601,1.79868604,-0.103994117,0.356180928,-0.354480439,-0.178396638,-0.997169431,1.608304009,2.014507802,1.1436067,1.777992014,1.595158298,0.158462559,-0.359866231,-0.203952315,-0.376234025
DE,0.532115632,-0.331101472,0.339942145,-0.339942145,-0.173122505,-1.312029473,0.173122505,1.312029473,-0.188430046,1.382599422,-0.354326697,-0.753364992,-0.168264076,-1.071333701,-1.879712032,-1.719257355,-0.32478921,0.503304751,1.448077568,0.079753078,-0.237657903,-0.795592631,-0.374659429,-0.194927373,-1.394500357,1.383170582,0.100497988,1.241891829,-0.206340343,1.170760013,0.133642876,0.033874344
